codigo_uf,sigla_uf,codigo_municipio,nome_municipio,pct_alfabetizados,ano
15.0,PA,1506302.0,Salvaterra,49.47,2024
15.0,PA,1506351.0,Santa Bárbara do Pará,37.6,2023
15.0,PA,1506351.0,Santa Bárbara do Pará,46.35,2024
15.0,PA,1506401.0,Santa Cruz do Arari,49.9,2023
15.0,PA,1506401.0,Santa Cruz do Arari,52.31,2024
15.0,PA,1506500.0,Santa Izabel do Pará,40.8,2023
15.0,PA,1506500.0,Santa Izabel do Pará,34.18,2024
15.0,PA,1506559.0,Santa Luzia do Pará,56.5,2023
15.0,PA,1506559.0,Santa Luzia do Pará,39.77,2024
15.0,PA,1506583.0,Santa Maria das Barreiras,53.6,2023
15.0,PA,1506583.0,Santa Maria das Barreiras,42.45,2024
15.0,PA,1506609.0,Santa Maria do Pará,,2023
15.0,PA,1506609.0,Santa Maria do Pará,39.79,2024
15.0,PA,1506807.0,Santarém,54.9,2023
15.0,PA,1506807.0,Santarém,51.29,2024
15.0,PA,1506906.0,Santarém Novo,52.2,2023
15.0,PA,1506906.0,Santarém Novo,78.25,2024
15.0,PA,1507003.0,Santo Antônio do Tauá,25.7,2023
15.0,PA,1507003.0,Santo Antônio do Tauá,31.66,2024
15.0,PA,1507102.0,São Caetano de Odivelas,33.4,2023
15.0,PA,1507102.0,São Caetano de Odivelas,69.85000000000001,2024
15.0,PA,1507151.0,São Domingos do Araguaia,46.1,2023
15.0,PA,1507151.0,São Domingos do Araguaia,40.37,2024
15.0,PA,1507201.0,São Domingos do Capim,30.8,2023
15.0,PA,1507201.0,São Domingos do Capim,32.97,2024
15.0,PA,1507300.0,São Félix do Xingu,,2023
15.0,PA,1507300.0,São Félix do Xingu,30.95,2024
15.0,PA,1507409.0,São Francisco do Pará,37.0,2023
15.0,PA,1507409.0,São Francisco do Pará,37.44,2024
15.0,PA,1507458.0,São Geraldo do Araguaia,46.5,2023
15.0,PA,1507458.0,São Geraldo do Araguaia,52.06,2024
15.0,PA,1507474.0,São João de Pirabas,29.8,2023
15.0,PA,1507474.0,São João de Pirabas,40.76,2024
15.0,PA,1507508.0,São João do Araguaia,33.6,2023
15.0,PA,1507508.0,São João do Araguaia,35.42,2024
15.0,PA,1507706.0,São Sebastião da Boa Vista,48.1,2023
15.0,PA,1507706.0,São Sebastião da Boa Vista,47.41,2024
15.0,PA,1507755.0,Sapucaia,79.9,2023
15.0,PA,1507755.0,Sapucaia,71.84,2024
